id,phdr_in_vivo_result_id,phdr_clinical_trial_id
DSV_13:SAPPHIRE-II,DSV_13,SAPPHIRE-II
DSV_13:TURQUOISE-II,DSV_13,TURQUOISE-II
DSV_14:SAPPHIRE-II,DSV_14,SAPPHIRE-II
DSV_15:SAPPHIRE-II,DSV_15,SAPPHIRE-II
DSV_16:TURQUOISE-I,DSV_16,TURQUOISE-I
DSV_3:PEARL-III,DSV_3,PEARL-III
DSV_3:PEARL-IV,DSV_3,PEARL-IV
DSV_4:AVIATOR,DSV_4,AVIATOR
DSV_5:AVIATOR,DSV_5,AVIATOR
DSV_6:AVIATOR,DSV_6,AVIATOR
DSV_7:AVIATOR,DSV_7,AVIATOR
DSV_8:AVIATOR,DSV_8,AVIATOR
DSV_9:AVIATOR,DSV_9,AVIATOR
EBR_100:C-EDGE CO-INFECTION,EBR_100,C-EDGE CO-INFECTION
EBR_100:C-EDGE TE,EBR_100,C-EDGE TE
EBR_100:C-EDGE TN,EBR_100,C-EDGE TN
EBR_100:C-SALVAGE,EBR_100,C-SALVAGE
EBR_100:C-SURFER,EBR_100,C-SURFER
EBR_100:C-WORTHY,EBR_100,C-WORTHY
EBR_101:C-EDGE CO-INFECTION,EBR_101,C-EDGE CO-INFECTION
EBR_101:C-EDGE TE,EBR_101,C-EDGE TE
EBR_101:C-EDGE TN,EBR_101,C-EDGE TN
EBR_101:C-SALVAGE,EBR_101,C-SALVAGE
EBR_101:C-SURFER,EBR_101,C-SURFER
EBR_101:C-WORTHY,EBR_101,C-WORTHY
EBR_102:C-EDGE CO-INFECTION,EBR_102,C-EDGE CO-INFECTION
EBR_102:C-EDGE TE,EBR_102,C-EDGE TE
EBR_102:C-EDGE TN,EBR_102,C-EDGE TN
EBR_102:C-SALVAGE,EBR_102,C-SALVAGE
EBR_102:C-SURFER,EBR_102,C-SURFER
EBR_102:C-WORTHY,EBR_102,C-WORTHY
EBR_103:C-EDGE CO-INFECTION,EBR_103,C-EDGE CO-INFECTION
EBR_103:C-EDGE TE,EBR_103,C-EDGE TE
EBR_103:C-EDGE TN,EBR_103,C-EDGE TN
EBR_103:C-SALVAGE,EBR_103,C-SALVAGE
EBR_103:C-SURFER,EBR_103,C-SURFER
EBR_103:C-WORTHY,EBR_103,C-WORTHY
EBR_104:C-EDGE CO-INFECTION,EBR_104,C-EDGE CO-INFECTION
EBR_104:C-EDGE TE,EBR_104,C-EDGE TE
EBR_104:C-EDGE TN,EBR_104,C-EDGE TN
EBR_104:C-SALVAGE,EBR_104,C-SALVAGE
EBR_104:C-SURFER,EBR_104,C-SURFER
EBR_104:C-WORTHY,EBR_104,C-WORTHY
EBR_105:C-EDGE CO-INFECTION,EBR_105,C-EDGE CO-INFECTION
EBR_105:C-EDGE TE,EBR_105,C-EDGE TE
EBR_105:C-EDGE TN,EBR_105,C-EDGE TN
EBR_105:C-SALVAGE,EBR_105,C-SALVAGE
EBR_105:C-SURFER,EBR_105,C-SURFER
EBR_105:C-WORTHY,EBR_105,C-WORTHY
EBR_106:C-EDGE CO-INFECTION,EBR_106,C-EDGE CO-INFECTION
EBR_106:C-EDGE TE,EBR_106,C-EDGE TE
EBR_106:C-EDGE TN,EBR_106,C-EDGE TN
EBR_106:C-SALVAGE,EBR_106,C-SALVAGE
EBR_106:C-SURFER,EBR_106,C-SURFER
EBR_106:C-WORTHY,EBR_106,C-WORTHY
EBR_107:C-EDGE CO-INFECTION,EBR_107,C-EDGE CO-INFECTION
EBR_107:C-EDGE TE,EBR_107,C-EDGE TE
EBR_107:C-EDGE TN,EBR_107,C-EDGE TN
EBR_107:C-SALVAGE,EBR_107,C-SALVAGE
EBR_107:C-SURFER,EBR_107,C-SURFER
EBR_107:C-WORTHY,EBR_107,C-WORTHY
EBR_108:C-WORTHY,EBR_108,C-WORTHY
EBR_109:C-WORTHY,EBR_109,C-WORTHY
