id,phdr_in_vivo_result_id,phdr_regimen_id
DCV_350:DCV_ASV_RBV,DCV_350,DCV_ASV_RBV
DCV_351:DCV_ASV_RBV,DCV_351,DCV_ASV_RBV
DCV_352:DCV_ASV_RBV,DCV_352,DCV_ASV_RBV
DCV_353:DCV_ASV_RBV,DCV_353,DCV_ASV_RBV
DCV_354:DCV_ASV_RBV,DCV_354,DCV_ASV_RBV
DCV_355:DCV_ASV_RBV,DCV_355,DCV_ASV_RBV
DCV_356:DCV_ASV_RBV,DCV_356,DCV_ASV_RBV
DCV_357:DCV_ASV_RBV,DCV_357,DCV_ASV_RBV
DCV_358:DCV_ASV_RBV,DCV_358,DCV_ASV_RBV
DCV_359:DCV_ASV_RBV,DCV_359,DCV_ASV_RBV
DCV_360:SOF_DCV,DCV_360,SOF_DCV
DCV_361:SOF_DCV,DCV_361,SOF_DCV
DCV_362:SOF_DCV,DCV_362,SOF_DCV
DCV_363:SOF_DCV,DCV_363,SOF_DCV
DCV_364:SOF_DCV,DCV_364,SOF_DCV
DCV_365:SOF_DCV,DCV_365,SOF_DCV
DCV_366:SOF_DCV,DCV_366,SOF_DCV
DCV_367:SOF_DCV,DCV_367,SOF_DCV
DCV_368:SOF_DCV,DCV_368,SOF_DCV
DCV_369:SOF_DCV,DCV_369,SOF_DCV
DCV_370:SOF_DCV,DCV_370,SOF_DCV
DCV_371:SOF_DCV,DCV_371,SOF_DCV
DCV_372:SOF_DCV,DCV_372,SOF_DCV
DCV_373:SOF_DCV,DCV_373,SOF_DCV
DCV_374:SOF_DCV,DCV_374,SOF_DCV
DCV_375:SOF_DCV,DCV_375,SOF_DCV
DCV_376:SOF_DCV,DCV_376,SOF_DCV
DCV_377:SOF_DCV,DCV_377,SOF_DCV
DCV_62:DCV_mono,DCV_62,DCV_mono
DCV_63:DCV_mono,DCV_63,DCV_mono
DCV_64:DCV_mono,DCV_64,DCV_mono
DCV_65:DCV_mono,DCV_65,DCV_mono
DCV_66:DCV_mono,DCV_66,DCV_mono
DCV_67:DCV_mono,DCV_67,DCV_mono
DCV_68:DCV_mono,DCV_68,DCV_mono
DCV_69:DCV_mono,DCV_69,DCV_mono
